target,indicator,series_code,series_description
13.1,13.1.1,VC_DSR_AFFCT,"Number of people affected by disaster (number)"
13.1,13.1.1,VC_DSR_DAFF,"Number of directly affected persons attributed to disasters per 100,000 population (number)"
13.1,13.1.1,VC_DSR_IJILN,"Number of injured or ill people attributed to disasters (number)"
13.1,13.1.1,VC_DSR_MISS,"Number of missing persons due to disaster (number)"
13.1,13.1.1,VC_DSR_MMHN,"Number of deaths and missing persons attributed to disasters (number)"
13.1,13.1.1,VC_DSR_MORT,"Number of deaths due to disaster (number)"
13.1,13.1.1,VC_DSR_MTMP,"Number of deaths and missing persons attributed to disasters per 100,000 population (number)"
13.1,13.1.1,VC_DSR_PDAN,"Number of people whose damaged dwellings were attributed to disasters (number)"
13.1,13.1.1,VC_DSR_PDLN,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number)"
13.1,13.1.1,VC_DSR_PDYN,"Number of people whose destroyed dwellings were attributed to disasters (number)"
13.1,13.1.2,SG_DSR_LGRGSR,"Score of adoption and implementation of national DRR strategies in line with the Sendai Framework"
13.1,13.1.3,SG_DSR_SILN,"Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)"
13.1,13.1.3,SG_DSR_SILS,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%)"
13.1,13.1.3,SG_GOV_LOGV,"Number of local governments (number)"
13.2,13.2.1,EN_ADAP_COM,"Number of countries with adaptation communications (Number)"
13.2,13.2.1,EN_NAD_CONTR,"Number of countries with nationally determined contributions (Number)"
13.2,13.2.1,EN_NAA_PLAN,"Number of countries with national adaptation plans (Number)"
13.2,13.2.1,EN_BITR_REP,"Number of countries with biennial transparency reports (Number)"
13.2,13.2.1,EN_LGHG_STR,"Number of countries with long-term low greenhouse gas emission development strategies (Number)"
13.2,13.2.2,EN_ATM_GHGT_AIP,"Total greenhouse gas emissions without LULUCF for Annex I Parties (Mt CO2 equivalent)"
13.2,13.2.2,EN_ATM_GHGT_NAIP,"Total greenhouse gas emissions without LULUCF for non-Annex I Parties (Mt CO2 equivalent)"
13.3,13.3.1,SE_GCEDESD_CUR,"Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula"
13.3,13.3.1,SE_GCEDESD_NEP,"Extent to which global citizenship education and education for sustainable development are mainstreamed in national education policies"
13.3,13.3.1,SE_GCEDESD_SAS,"Extent to which global citizenship education and education for sustainable development are mainstreamed in student assessment"
13.3,13.3.1,SE_GCEDESD_TED,"Extent to which global citizenship education and education for sustainable development are mainstreamed in teacher education"
13.3,13.3.1,SE_SGE_BIODIV,"Score on greening education in biodiversity (%)"
13.3,13.3.1,SE_SGE_CLIMCH,"Score on greening education in climate change (%)"
13.3,13.3.1,SE_SGE_ENVSUST,"Score on greening education in environment and sustainability (%)"
13.3,13.3.1,SE_SGE_OVERALL,"Score on greening education in environment and sustainability, climate change, and biodiversity (%)"
13.a,13.a.1,DC_FIN_CLIMB,"Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars)"
13.a,13.a.1,DC_FIN_CLIMM,"Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars)"
13.a,13.a.1,DC_FIN_CLIMT,"Total climate-specific financial support provided (Billions of current United States dollars)"
13.a,13.a.1,DC_FIN_GEN,"Core/general contributions provided to multilateral institutions (Billions of current United States dollars)"
13.a,13.a.1,DC_FIN_TOT,"Total financial support provided (Billions of current United States dollars)"
13.b,13.b.1,EN_ADAP_COM_DV,"Number of least developed counties and small island developing States with adaptation communications (Number)"
13.b,13.b.1,EN_NAD_CONTR_DV,"Number of least developed countries and small island developing States with nationally determined contributions (Number)"
13.b,13.b.1,EN_NA_PLAN_DV,"Number of least developed countries and small island developing States with national adaptation plans (Number)"
13.b,13.b.1,EN_BITR_REP_DV,"Number of least developed countries and small island developing States with biennial transparency reports (Number)"
13.b,13.b.1,EN_GHG_STR_DV,"Number of least developed countries and small island developing States with long term low greenhouse gas emission development strategies (Number)"
